timestamp,min,max,avg,mode,number_of_packets
1710230580.0,-53.0,-46.0,-47.94772344013491,-48.0,593.0
1710230640.0,-49.0,-46.0,-47.97989949748744,-48.0,597.0
1710230700.0,-53.0,-46.0,-47.984641638225256,-48.0,586.0
1710230760.0,-49.0,-46.0,-47.98313659359191,-48.0,593.0
1710230820.0,-51.0,-46.0,-48.0,-48.0,599.0
1710230880.0,-49.0,-46.0,-48.01360544217687,-48.0,588.0
1710230940.0,-49.0,-46.0,-48.0,-48.0,587.0
1710231000.0,-52.0,-46.0,-48.0,-48.0,587.0
1710231060.0,-53.0,-46.0,-48.03407155025554,-48.0,587.0
1710231120.0,-53.0,-46.0,-48.011884550084886,-48.0,589.0
1710231180.0,-53.0,-46.0,-48.00760456273764,-48.0,526.0
1710231240.0,-51.0,-46.0,-48.00729927007299,-48.0,548.0
1710231300.0,-52.0,-46.0,-48.051107325383306,-48.0,587.0
1710231360.0,-51.0,-46.0,-48.081911262798634,-48.0,586.0
1710231420.0,-53.0,-46.0,-48.02337228714524,-48.0,599.0
1710231480.0,-49.0,-46.0,-48.02385008517888,-48.0,587.0
1710231540.0,-49.0,-46.0,-48.00683760683761,-48.0,585.0
1710231600.0,-49.0,-48.0,-48.04786324786325,-48.0,585.0
1710231660.0,-49.0,-45.0,-48.02389078498293,-48.0,586.0
1710231720.0,-49.0,-46.0,-47.998333333333335,-48.0,600.0
1710231780.0,-51.0,-46.0,-47.965870307167236,-48.0,586.0
1710231840.0,-52.0,-47.0,-48.017035775127766,-48.0,587.0
1710231900.0,-53.0,-46.0,-48.0221465076661,-48.0,587.0
1710231960.0,-52.0,-46.0,-47.98293515358362,-48.0,586.0
1710232020.0,-49.0,-47.0,-48.03270223752151,-48.0,581.0
1710232080.0,-50.0,-46.0,-48.00171232876713,-48.0,584.0
1710232140.0,-53.0,-47.0,-48.034246575342465,-48.0,584.0
1710232200.0,-49.0,-46.0,-48.00337268128162,-48.0,593.0
1710232260.0,-49.0,-46.0,-47.99488926746167,-48.0,587.0
1710232320.0,-49.0,-46.0,-47.98474576271187,-48.0,590.0
1710232380.0,-49.0,-46.0,-48.00869565217391,-48.0,575.0
1710232440.0,-49.0,-46.0,-48.0,-48.0,570.0
1710232500.0,-53.0,-46.0,-48.00692041522491,-48.0,578.0
1710232560.0,-49.0,-46.0,-47.99480968858131,-48.0,578.0
